,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_net_arch,params_vf_coef,state
0,0,4.313352966962226,2021-04-16 01:46:58.623978,2021-04-16 02:06:18.644097,0 days 00:19:20.020119,0.010369533491220344,0.95,0.04150882946033289,constant,32,32x32,0.2115198015728056,COMPLETE
1,1,3.6394315382157507,2021-04-16 02:06:18.685375,2021-04-16 02:26:07.404780,0 days 00:19:48.719405,0.028330913464855615,0.98,0.0232226449216732,linear,1024,32x32,0.9806015105744489,COMPLETE
2,2,3.154686004694352,2021-04-16 02:26:07.432607,2021-04-16 02:52:25.402332,0 days 00:26:17.969725,8.3801265457561e-05,0.9,0.0006114047997757189,linear,256,8x8,0.8785190369833616,COMPLETE
3,3,3.075751622753857,2021-04-16 02:52:25.429361,2021-04-16 03:08:58.222222,0 days 00:16:32.792861,0.0008985232276707392,0.95,0.05650548425897256,linear,2048,32x32,0.15338749024724008,COMPLETE
4,4,3.3517664488711447,2021-04-16 03:08:58.248432,2021-04-16 03:30:44.775771,0 days 00:21:46.527339,3.6320956089213245e-07,0.99,0.2257698604918741,linear,32,32x32,0.3984565008326928,COMPLETE
5,5,3.8462643285198914,2021-04-16 03:30:44.807516,2021-04-16 03:47:05.461037,0 days 00:16:20.653521,0.00024130305211379248,0.995,1.2238503167772739e-05,constant,2048,16x16,0.11206592081116348,COMPLETE
6,6,3.6578756160254366,2021-04-16 03:47:05.496252,2021-04-16 04:07:57.531640,0 days 00:20:52.035388,2.2513484920904995e-07,0.9999,0.8924500539500467,linear,128,4x4,0.6163295920450698,COMPLETE
7,7,3.0425482314297323,2021-04-16 04:07:57.559294,2021-04-16 04:27:11.140495,0 days 00:19:13.581201,0.0012024932912542289,0.999,0.000609598731870915,linear,16,8x8,0.03354178149120181,COMPLETE
8,8,3.89041595670503,2021-04-16 04:27:11.169150,2021-04-16 04:47:53.958099,0 days 00:20:42.788949,5.1414981958087125e-06,0.999,0.00045331236578311597,linear,16,8x8,0.011935056398015759,COMPLETE
9,9,4.464205044821272,2021-04-16 04:47:53.989218,2021-04-16 05:07:04.970385,0 days 00:19:10.981167,0.08331128967192833,0.999,1.7291522975843825e-05,constant,512,8x8,0.5504460010653925,COMPLETE
10,10,4.266106822207095,2021-04-16 05:07:04.999046,2021-04-16 05:26:16.445762,0 days 00:19:11.446716,1.4145117866574647e-08,0.999,0.0003461944342193696,linear,64,8x8,0.33550130271134576,COMPLETE
11,11,3.418941167234015,2021-04-16 05:26:16.476900,2021-04-16 05:43:15.906910,0 days 00:16:59.430010,0.0011910584100933894,0.95,0.003575119401396805,linear,2048,32x32,0.012554249274856544,COMPLETE
12,12,4.335640403461766,2021-04-16 05:43:15.934769,2021-04-16 06:02:57.714860,0 days 00:19:41.780091,0.0028069958635917364,0.95,0.003580530474243526,linear,16,16x16,0.21722955835714103,COMPLETE
13,13,3.96853360330014,2021-04-16 06:02:57.740491,2021-04-16 06:22:40.889807,0 days 00:19:43.149316,1.5005384331371381e-05,0.999,7.39986330948704e-05,linear,8,4x4,0.0011815520594854467,COMPLETE
14,14,4.479040783758348,2021-04-16 06:22:40.916962,2021-04-16 06:42:08.548805,0 days 00:19:27.631843,0.0005267175216258328,0.95,0.03356894224363177,linear,16,8x8,0.16590808879815477,COMPLETE
15,15,4.233466559465067,2021-04-16 06:42:08.581448,2021-04-16 06:58:32.594055,0 days 00:16:24.012607,0.007646732764047687,0.9,0.009888469943825829,linear,2048,32x32,0.7050838572412322,COMPLETE
16,16,4.4298785733712585,2021-04-16 06:58:32.621209,2021-04-16 07:15:20.907274,0 days 00:16:48.286065,6.965541392238217e-05,0.9999,0.24073705447857294,linear,2048,32x32,0.3637892359113433,COMPLETE
