,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lambda,params_lr,params_n_steps,params_net_arch,params_noptepochs,state
0,0,7.575236195417614,2021-04-12 00:09:12.470288,2021-04-12 00:19:32.942293,0 days 00:10:20.472005,32,0.3,0.0005478131878272852,0.995,0.8,0.08603910760384363,256,16x16,1,COMPLETE
1,1,8.940501938701372,2021-04-12 00:19:32.985271,2021-04-12 00:29:54.774943,0 days 00:10:21.789672,64,0.1,0.006150248501677563,0.9,0.95,0.03110668462175101,64,8x8,10,COMPLETE
2,2,10.306365210155667,2021-04-12 00:29:54.803068,2021-04-12 00:40:14.535493,0 days 00:10:19.732425,256,0.1,0.0007049190342333505,0.99,0.99,0.011669118399063037,64,4x4,5,COMPLETE
3,3,10.05932763214165,2021-04-12 00:40:14.564517,2021-04-12 00:48:48.529285,0 days 00:08:33.964768,256,0.3,0.0400052643185101,0.999,0.92,3.408197823083121e-05,2048,4x4,10,COMPLETE
4,4,1.4465605550757552,2021-04-12 00:48:48.555923,2021-04-12 00:59:28.727231,0 days 00:10:40.171308,256,0.1,1.6542683577798625e-06,0.9,0.9,0.012004520913796177,32,32x32,30,COMPLETE
5,5,10.332430847908276,2021-04-12 00:59:28.757834,2021-04-12 01:10:08.887281,0 days 00:10:40.129447,128,0.2,3.9167417647348047e-08,0.98,0.9,0.0001128405304349543,32,32x32,30,COMPLETE
6,6,8.213951479454087,2021-04-12 01:10:08.914431,2021-04-12 01:20:32.587422,0 days 00:10:23.672991,256,0.4,3.486328723133146e-07,0.95,1.0,0.0011517749031994485,512,32x32,50,COMPLETE
7,7,9.800802915250204,2021-04-12 01:20:32.615532,2021-04-12 01:31:12.550128,0 days 00:10:39.934596,128,0.1,3.2529609967099635e-06,0.9999,0.98,0.35863418151930165,32,32x32,30,COMPLETE
8,8,9.958741015207044,2021-04-12 01:31:12.582099,2021-04-12 01:42:03.847955,0 days 00:10:51.265856,32,0.2,1.322243726438544e-05,0.9,0.9,0.0009285596424130861,16,8x8,20,COMPLETE
9,9,10.108509679110856,2021-04-12 01:42:03.876742,2021-04-12 01:52:25.444518,0 days 00:10:21.567776,256,0.1,2.009366181501907e-08,0.9,0.9,0.722935378536162,1024,32x32,30,COMPLETE
10,10,8.01108551381716,2021-04-12 01:52:25.475771,2021-04-12 02:02:55.104264,0 days 00:10:29.628493,64,0.4,8.064011307394192e-07,0.9,0.98,0.004465910173362325,128,16x16,30,COMPLETE
11,11,9.878852464030865,2021-04-12 02:02:55.132872,2021-04-12 02:13:13.602461,0 days 00:10:18.469589,32,0.3,0.0001846565112466175,0.995,0.8,0.09635931416413394,256,16x16,1,COMPLETE
12,12,7.001133086861546,2021-04-12 02:13:13.630503,2021-04-12 02:23:32.299290,0 days 00:10:18.668787,32,0.3,0.00010242237942119073,0.995,0.8,0.08837770999714437,256,16x16,1,COMPLETE
